city	meeting	humanReview	n_utt	n_user	n_task	n_none	frac_user	n_seg	frac_seg_user
meganisi	mar23_2026	False	1642	0	387	1255	0.0	139	0.0
nea-smyrni	jan13_2025	False	4264	0	1491	2773	0.0	514	0.0
peristeri	dec23_2024	False	1448	0	587	861	0.0	159	0.0
plastiras	apr21_2026	False	901	0	220	681	0.0	76	0.0
vari-voula-vouliagmeni	jan20_2025	False	2336	0	706	1630	0.0	200	0.0
vari-voula-vouliagmeni	feb24_2025	False	5259	2	1541	3716	0.00038030043734550294	634	0.0031545741324921135
karditsa	apr20_2026	False	2014	1	583	1430	0.0004965243296921549	70	0.014285714285714285
argos	jan21_2025	False	2319	2	813	1504	0.0008624407072013799	258	0.007751937984496124
argithea	mar26_2026	False	1410	2	441	967	0.0014184397163120568	264	0.007575757575757576
thessaloniki	apr1_2026	False	9282	37	1997	7248	0.0039862098685628095	671	0.00894187779433681
kalamata	feb5_2025	False	2352	14	963	1375	0.005952380952380952	265	0.033962264150943396
dorida	jun6_2025	False	2422	50	810	1562	0.02064409578860446	236	0.15254237288135594
rhodes	jul17_2025	False	5439	136	1962	3341	0.025004596433167863	518	0.1640926640926641
chania	jan27_2025_2	False	6298	551	1865	3882	0.08748809145760558	511	0.41682974559686886
chania	feb5_2025	False	1594	145	564	885	0.09096612296110414	88	0.5568181818181818
chalandri	feb25_2_2026	True	228	22	35	171	0.09649122807017543	23	0.5652173913043478
chania	apr2_2025	False	3803	442	976	2385	0.11622403365763871	348	0.5057471264367817
chania	jan15_2025	True	2921	341	894	1686	0.11674084217733653	252	0.5555555555555556
chania	feb3_2025	False	654	80	196	378	0.12232415902140673	37	0.7567567567567568
sparta	feb24_2_2026	True	16	2	5	9	0.125	1	1.0
chania	feb26_2025	False	3497	464	1025	2008	0.13268515870746353	220	0.6090909090909091
sparta	feb3_2026	True	118	16	35	67	0.13559322033898305	11	0.5454545454545454
chania	feb2_2026	True	319	44	65	210	0.13793103448275862	23	0.7391304347826086
argos	oct10_2025	False	441	61	130	250	0.1383219954648526	71	0.5211267605633803
chalandri	oct15_2_2025	False	2439	354	517	1568	0.14514145141451415	191	0.5340314136125655
zografou	jan8_2026	True	107	16	30	61	0.14953271028037382	13	0.6153846153846154
chalandri	feb11_2026	True	1269	190	213	866	0.14972419227738376	72	0.6805555555555556
zografou	jan29_2_2026	True	3172	484	659	2029	0.15258511979823455	294	0.5986394557823129
chania	apr29_2026	True	4472	713	768	2991	0.15943649373881932	319	0.6426332288401254
chania	oct8_2025	False	3127	500	704	1923	0.1598976654940838	170	0.7941176470588235
chania	feb12_2025	False	2594	415	722	1457	0.1599845797995374	228	0.5482456140350878
argos	feb27_2026	True	311	50	64	197	0.1607717041800643	15	0.7333333333333333
sparta	dec30_2025	True	74	12	19	43	0.16216216216216217	5	0.8
argos	feb6_2026	True	852	141	154	557	0.16549295774647887	78	0.6538461538461539
chania	feb9_2026	True	300	50	63	187	0.16666666666666666	28	0.75
chalandri	oct29_2025	False	1424	239	237	948	0.1678370786516854	139	0.60431654676259
chania	mar19_2025	False	3555	597	789	2169	0.1679324894514768	386	0.6450777202072538
chania	feb19_2_2026	True	556	94	107	355	0.16906474820143885	35	0.6285714285714286
chania	feb4_2026	True	3195	558	653	1984	0.17464788732394365	218	0.6834862385321101
chania	jul9_2025	False	4861	866	1037	2958	0.17815264348899404	359	0.6713091922005571
chania	feb17_2025	False	223	40	67	116	0.17937219730941703	14	0.8571428571428571
zografou	oct30_2025	True	883	160	167	556	0.1812004530011325	43	0.5116279069767442
sparta	dec22_2025	True	2737	497	671	1569	0.1815856777493606	383	0.5221932114882507
athens	feb11_2026	True	4823	877	1106	2840	0.18183703089363468	388	0.6804123711340206
chalandri	jan14_2_2026	True	2083	384	408	1291	0.1843494959193471	72	0.6944444444444444
zografou	apr30_2026	True	920	171	183	566	0.1858695652173913	37	0.5945945945945946
chalandri	dec17_2025	True	2525	472	446	1607	0.18693069306930693	164	0.6341463414634146
chania	may28_2025	True	6669	1251	1351	4067	0.18758434547908232	515	0.7223300970873786
chania	may7_2025	False	3896	733	1044	2119	0.1881416837782341	249	0.7108433734939759
xylokastro	dec22_2025	True	1921	362	436	1123	0.18844351900052056	121	0.7851239669421488
zografou	jan26_3_2026	True	106	20	11	75	0.18867924528301888	8	0.625
chania	oct15_2025	False	2671	505	555	1611	0.18906776488206664	189	0.6931216931216931
xylokastro	apr29_2026	True	1170	225	182	763	0.19230769230769232	26	0.7307692307692307
chania	feb10_2025	False	369	71	77	221	0.19241192411924118	31	0.6451612903225806
zografou	feb19_2026	True	2364	461	336	1567	0.19500846023688664	241	0.5435684647302904
chania	feb19_2026	True	5478	1070	871	3537	0.19532676159182183	432	0.6412037037037037
chania	jan5_2026	True	138	27	29	82	0.1956521739130435	9	0.8888888888888888
chania	apr28_2025_2	False	2676	528	543	1605	0.19730941704035873	130	0.7461538461538462
sparta	mar18_2026	True	4739	950	613	3176	0.2004642329605402	527	0.5502846299810247
chania	jul28_2025	False	3581	720	800	2061	0.2010611561016476	314	0.7229299363057324
chalandri	may13_2026	True	4181	841	517	2823	0.20114805070557282	390	0.5948717948717949
athens	feb26_2_2026	True	1547	312	288	947	0.20168067226890757	85	0.6470588235294118
chania	mar4_2025	False	889	181	157	551	0.20359955005624297	90	0.5888888888888889
orestiada	feb27_2026	True	2401	489	324	1588	0.20366513952519782	232	0.7025862068965517
chalandri	feb25_2026	True	2304	470	279	1555	0.20399305555555555	167	0.592814371257485
athens	jan26_2_2026	True	4166	854	970	2342	0.20499279884781565	365	0.673972602739726
sparta	feb11_2026	True	3935	807	698	2430	0.2050825921219822	412	0.6092233009708737
sparta	jan30_2026	True	34	7	12	15	0.20588235294117646	5	0.8
argos	feb27_2_2026	True	604	125	104	375	0.20695364238410596	95	0.6210526315789474
xylokastro	feb24_2025	False	751	156	127	468	0.20772303595206393	40	0.7
chania	nov26_2025	False	2800	585	579	1636	0.20892857142857144	218	0.7293577981651376
sparta	feb10_2026	True	124	26	31	67	0.20967741935483872	9	0.7777777777777778
vrilissia	mar4_2026	True	3973	835	592	2546	0.21016863830858293	286	0.6538461538461539
orestiada	jan21_2026	True	2792	588	664	1540	0.21060171919770773	402	0.6442786069651741
athens	apr20_3_2026	True	4242	896	662	2684	0.21122112211221122	273	0.7106227106227107
athens	mar23_2026	True	5268	1115	826	3327	0.21165527714502658	364	0.7472527472527473
chalandri	mar26_2026	True	1693	359	270	1064	0.21204961606615474	265	0.6490566037735849
chania	dec3_2025	False	2083	444	430	1209	0.21315410465674509	124	0.75
chalandri	nov12_2025	False	2824	602	378	1844	0.2131728045325779	190	0.6631578947368421
chalandri	mar11_2026	True	2828	609	335	1884	0.21534653465346534	221	0.5972850678733032
zografou	nov13_2025	True	3302	712	623	1967	0.21562689279224712	370	0.6270270270270271
chania	mar2_2026	True	343	74	49	220	0.21574344023323616	30	0.8333333333333334
chania	feb24_2025	False	454	98	101	255	0.21585903083700442	23	0.8260869565217391
zografou	feb26_2026	True	2413	521	431	1461	0.21591380024865314	147	0.5918367346938775
chania	feb11_2026	True	3371	733	683	1955	0.21744289528329871	249	0.6706827309236948
chania	jul30_2025	False	3242	705	738	1799	0.21745835903763108	198	0.7727272727272727
chania	oct29_2025	False	3176	695	709	1772	0.2188287153652393	252	0.7103174603174603
orestiada	feb11_2026	True	3536	776	697	2063	0.21945701357466063	399	0.606516290726817
xylokastro	may28_2025	False	584	129	103	352	0.2208904109589041	26	0.8461538461538461
chania	sep29_2025_2	False	3682	818	767	2097	0.22216186854970124	224	0.7544642857142857
chalandri	dec3_2025	False	951	212	180	559	0.22292323869610936	86	0.6395348837209303
chalandri	nov19_2025	False	573	128	110	335	0.22338568935427575	76	0.5526315789473685
xylokastro	feb25_2026	True	1838	411	282	1145	0.2236126224156692	57	0.7719298245614035
athens	mar9_1_2026	True	7677	1718	1144	4815	0.22378533281229648	486	0.7119341563786008
chania	sep10_2025	False	2717	609	579	1529	0.22414427677585572	210	0.7380952380952381
athens	jan14_2026	True	3696	831	797	2068	0.22483766233766234	305	0.7573770491803279
chania	aug27_2025	False	3877	876	808	2193	0.22594789785916947	355	0.7267605633802817
chalandri	apr29_2_2026	True	1515	344	194	977	0.22706270627062705	134	0.5895522388059702
sparta	dec10_2025	True	7096	1618	1383	4095	0.22801578354002255	928	0.6422413793103449
chania	jan19_2026	True	664	152	122	390	0.2289156626506024	80	0.775
sparta	feb13_2026	True	61	14	21	26	0.22950819672131148	6	0.6666666666666666
chania	dec23_2025_2	True	1559	359	348	852	0.23027581783194356	93	0.7741935483870968
vrilissia	mar18_2026	True	2723	632	315	1776	0.23209695189129637	86	0.6976744186046512
argos	mar10_2026	True	906	213	130	563	0.23509933774834438	89	0.7415730337078652
chania	mar26_2025	False	697	164	110	423	0.23529411764705882	74	0.7432432432432432
chania	jun2_2025	False	1996	471	336	1189	0.23597194388777556	90	0.8111111111111111
chania	feb24_2026	True	398	94	59	245	0.23618090452261306	44	0.7045454545454546
chania	apr27_2026	True	1142	270	150	722	0.23642732049036777	37	0.7567567567567568
chania	mar4_2026	True	3791	900	605	2286	0.23740437879187548	355	0.647887323943662
xylokastro	jun30_2025	False	2147	512	384	1251	0.2384722869119702	105	0.780952380952381
sparta	mar12_2026	True	364	87	60	217	0.23901098901098902	43	0.6744186046511628
vrilissia	apr29_2_2026	True	4676	1129	548	2999	0.24144568006843456	351	0.5783475783475783
chania	dec19_2025	True	497	120	103	274	0.2414486921529175	45	0.8444444444444444
argos	may12_2026	True	1559	377	215	967	0.2418216805644644	208	0.6634615384615384
sparta	mar30_2026	True	8470	2059	1073	5338	0.24309327036599765	786	0.678117048346056
orestiada	apr27_2026	True	3654	891	507	2256	0.2438423645320197	422	0.6729857819905213
zografou	apr24_2026	True	2941	718	412	1811	0.24413464807888474	253	0.6205533596837944
vrilissia	dec22_2025	True	4800	1172	1012	2616	0.24416666666666667	369	0.7235772357723578
xylokastro	jun25_2025	False	1543	377	331	835	0.24432922877511343	126	0.6984126984126984
sparta	dec22_2_2025	True	106	26	41	39	0.24528301886792453	8	1.0
chania	dec10_2025	True	4177	1025	834	2318	0.2453914292554465	310	0.6774193548387096
samothraki	may15_2026	True	1309	322	205	782	0.24598930481283424	126	0.6587301587301587
chania	dec23_2025	True	3857	954	678	2225	0.2473424941664506	351	0.7378917378917379
chania	oct13_2025	False	291	72	67	152	0.24742268041237114	22	0.8636363636363636
argos	dec5_2025	False	314	78	54	182	0.2484076433121019	33	0.8787878787878788
chania	aug25_2025	False	169	42	47	80	0.2485207100591716	11	0.9090909090909091
chania	apr16_2025	False	731	182	114	435	0.24897400820793433	62	0.8870967741935484
chania	mar26_2026	True	5104	1279	704	3121	0.25058777429467083	383	0.6997389033942559
chania	apr15_2026	True	2118	531	248	1339	0.2507082152974504	138	0.7608695652173914
vrilissia	dec8_2025	True	2269	570	498	1201	0.251211987659762	170	0.6352941176470588
xylokastro	mar30_2026	True	310	78	31	201	0.25161290322580643	16	0.8125
zografou	dec11_2025	True	3481	876	602	2003	0.2516518241884516	269	0.7026022304832714
orestiada	apr7_2026	True	2291	577	325	1389	0.25185508511567	83	0.6867469879518072
chalandri	jan14_2026	True	1844	470	177	1197	0.25488069414316705	138	0.6376811594202898
chania	apr22_2026	True	3032	777	381	1874	0.2562664907651715	216	0.6666666666666666
chalandri	apr1_2026	True	960	248	129	583	0.25833333333333336	153	0.7058823529411765
chania	feb16_2026	True	1001	259	154	588	0.25874125874125875	35	0.8857142857142857
chania	nov12_2025	False	2672	692	545	1435	0.25898203592814373	230	0.7347826086956522
chania	apr28_2025	False	135	35	19	81	0.25925925925925924	3	1.0
chania	nov3_2025	True	258	67	42	149	0.2596899224806202	19	0.9473684210526315
orestiada	may18_2026	True	3385	880	518	1987	0.25997045790251105	494	0.6234817813765182
chania	nov17_2025	False	307	80	43	184	0.26058631921824105	33	0.7878787878787878
chania	may26_2025	False	428	112	78	238	0.2616822429906542	42	0.7857142857142857
chania	apr9_2025	False	248	65	0	183	0.2620967741935484	16	0.875
xylokastro	oct13_2025	False	614	162	135	317	0.26384364820846906	58	0.7758620689655172
sparta	jan14_2026	True	896	237	185	474	0.26450892857142855	48	0.875
athens	feb19_3_2026	True	1192	316	188	688	0.2651006711409396	161	0.5838509316770186
athens	may18_3_2026	True	8030	2130	1098	4802	0.26525529265255293	582	0.7130584192439863
xylokastro	apr28_2025	False	505	134	122	249	0.26534653465346536	27	0.8518518518518519
orestiada	mar3_2_2026	True	2359	629	376	1354	0.26663840610428147	248	0.6008064516129032
argos	apr30_2026	True	101	27	19	55	0.26732673267326734	9	0.8888888888888888
chania	mar23_2026	True	377	101	43	233	0.26790450928381965	37	0.8378378378378378
vrilissia	feb4_2026	True	3280	879	450	1951	0.2679878048780488	163	0.6687116564417178
vrilissia	mar18_2_2026	True	743	200	138	405	0.2691790040376851	23	0.9130434782608695
argos	apr30_2_2026	True	650	175	97	378	0.2692307692307692	77	0.7272727272727273
orestiada	mar23_2026	True	2529	683	314	1532	0.27006722024515617	255	0.6901960784313725
sparta	may6_2_2026	True	4880	1319	577	2984	0.27028688524590166	441	0.6984126984126984
argos	apr24_2026	True	455	123	62	270	0.2703296703296703	76	0.6973684210526315
zografou	oct22_2_2025	True	2856	774	437	1645	0.2710084033613445	234	0.6965811965811965
argos	nov11_2025	False	1273	345	273	655	0.27101335428122547	200	0.68
chalandri	sep24_2025	False	2622	711	379	1532	0.2711670480549199	165	0.6545454545454545
sparta	may13_2026	True	2687	730	372	1585	0.27167845180498695	322	0.5745341614906833
argos	sep24_2025	False	378	103	76	199	0.2724867724867725	46	0.782608695652174
chalandri	nov26_2025	False	2678	732	345	1601	0.27333831217326365	133	0.8045112781954887
chania	sep29_2025	True	274	75	53	146	0.2737226277372263	27	0.7777777777777778
athens	feb26_2026	True	3290	903	552	1835	0.274468085106383	253	0.7154150197628458
chania	dec2_2025	False	807	222	117	468	0.275092936802974	37	0.8378378378378378
chania	jan22_2026	True	3363	931	548	1884	0.2768361581920904	325	0.7076923076923077
vrilissia	jan29_2026	True	2873	798	472	1603	0.2777584406543683	141	0.7021276595744681
chalandri	apr29_2026	True	2113	587	242	1284	0.27780407004259344	88	0.6477272727272727
chania	may4_2026	True	377	105	54	218	0.27851458885941643	33	0.7272727272727273
chania	jun25_2025	False	1672	471	327	874	0.28169856459330145	148	0.7567567567567568
chania	apr7_2025	False	550	155	103	292	0.2818181818181818	43	0.8604651162790697
orestiada	mar3_2026	True	1067	301	140	626	0.28209934395501407	95	0.7578947368421053
athens	apr1_2026	True	5041	1425	645	2971	0.28268200753818684	454	0.7268722466960352
